date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:21:39	452/452	---MCZ	200	added ('OK')	text/plain	date:Wed,%2020%20Aug%202025%2019:21:38%20GMT	https://ak.sv/robots.txt		(from )
19:21:39	48873/48873	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Aug%202025%2019:21:39%20GMT	https://ak.sv/	my_website_copy/ak.sv/index.html	(from )
19:21:40	76188/76188	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2013%20Oct%202019%2008:38:32%20GMT	https://ak.sv/style/assets/css/fonts/font/STC-Bold.eot	my_website_copy/ak.sv/style/assets/css/fonts/font/STC-Bold.eot	(from https://ak.sv/)
19:21:42	55720/55720	---M--	200	added ('OK')	font/woff	date:Sun,%2013%20Oct%202019%2008:38:46%20GMT	https://ak.sv/style/assets/css/fonts/font/STC-Bold.woff	my_website_copy/ak.sv/style/assets/css/fonts/font/STC-Bold.woff	(from https://ak.sv/)
19:21:42	76032/76032	---MCZ	200	added ('OK')	font/ttf	date:Sun,%2013%20Oct%202019%2008:38:58%20GMT	https://ak.sv/style/assets/css/fonts/font/STC-Bold.ttf	my_website_copy/ak.sv/style/assets/css/fonts/font/STC-Bold.ttf	(from https://ak.sv/)
19:21:43	286374/286374	---MCZ	200	added ('OK')	image/svg+xml	date:Sun,%2013%20Oct%202019%2008:39:38%20GMT	https://ak.sv/style/assets/css/fonts/font/STC-Bold.svg	my_website_copy/ak.sv/style/assets/css/fonts/font/STC-Bold.svg	(from https://ak.sv/)
19:21:44	68364/68364	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2013%20Oct%202019%2008:39:38%20GMT	https://ak.sv/style/assets/css/fonts/font/STC-Italic.eot	my_website_copy/ak.sv/style/assets/css/fonts/font/STC-Italic.eot	(from https://ak.sv/)
19:21:45	56032/56032	---M--	200	added ('OK')	font/woff	date:Sun,%2013%20Oct%202019%2008:41:06%20GMT	https://ak.sv/style/assets/css/fonts/font/STC-Light.woff	my_website_copy/ak.sv/style/assets/css/fonts/font/STC-Light.woff	(from https://ak.sv/)
19:21:46	78848/78848	---MCZ	200	added ('OK')	font/ttf	date:Sun,%2013%20Oct%202019%2008:41:20%20GMT	https://ak.sv/style/assets/css/fonts/font/STC-Light.ttf	my_website_copy/ak.sv/style/assets/css/fonts/font/STC-Light.ttf	(from https://ak.sv/)
19:21:47	293427/293427	---MCZ	200	added ('OK')	image/svg+xml	date:Sun,%2013%20Oct%202019%2008:41:34%20GMT	https://ak.sv/style/assets/css/fonts/font/STC-Light.svg	my_website_copy/ak.sv/style/assets/css/fonts/font/STC-Light.svg	(from https://ak.sv/)
